id,input,output
nikluge-au-2022-train-000001,보여주다 왜 엿보다 비난 하다 웃기 훔치다 보다 왜 보여주다 하다 사람 역시 울다,1
nikluge-au-2022-train-000002,왜 개인 사생활 방송 보여주다 싶다 이해도 알다 식 프로포즈 란 무슨 자로 재다 들다 무릎 꿇다 반지 내 밀고 나 결혼 해주다 가다 전부,1
nikluge-au-2022-train-000003,이렇다 쓰레기 같다 새끼 아무렇다 않다 멀쩡하다 돌아다니다 생각 하다 진짜 너무 소름 돋다,1
nikluge-au-2022-train-000004,인간 탈 쓰다,1
nikluge-au-2022-train-000005,인기 글 짱깨 뭐라다 댓글 ㅂㄷㅂㄷ 하다,1
nikluge-au-2022-train-000006,계속 페미 년 거리 면서 왜 그렇게 생각 하다 뭐 그딴 거 아무 것 없곸,1
nikluge-au-2022-train-000007,가게 한남 오다,1
nikluge-au-2022-train-000008,그래도 하다 하다 주다,1
nikluge-au-2022-train-000009,참고 몇몇 캐릭터 더 있다 다 허다 벌창 같다 소개 안 하다,1
nikluge-au-2022-train-000010,그냥 나쁘다 인간 내지 감정 좀 상승 되다 나쁘다 놈 정도 하다 도저히 차다 수 없다 나쁘다 새끼 하다,1
nikluge-au-2022-train-000011,악한 자리 선 자 들 대차다 끄다 비난 하 되다 점마 저 거 예수 안 믿다 인간 이렇다 말 좀 자제 하다,1
nikluge-au-2022-train-000012,이 것 정말 국민 개돼지 인식 한다는 소립 니,1
nikluge-au-2022-train-000013,진짜 좀 그만 보고 싶다,1
nikluge-au-2022-train-000014,청년 당원 들 당 리더 저 따위 소리 하다 있다 그냥 멍 때리다 있다 건가,1
nikluge-au-2022-train-000015,왜 청년 들 일 하다 데 끼다 들다,1
nikluge-au-2022-train-000016,왜 굳이 청년 정책 관련 되다 일 하다,1
nikluge-au-2022-train-000017,국민 들 암 말 않다 열심히 세금 내 정말 별 개 그 같다 데 돈 쓰다 치다 자빠지다,1
nikluge-au-2022-train-000018,예 들다 누가 살해 돼다 용의자 있다 용의자 자기 아니다 하다 진범 있다 하다,0
nikluge-au-2022-train-000019,일당 뭐,0
nikluge-au-2022-train-000020,귀신 먹다,0
nikluge-au-2022-train-000021,근데 아니다,0
nikluge-au-2022-train-000022,충남 공주 위치 초등학교 친구 들 만나다 위해 고속버스 터미널 오다,0
nikluge-au-2022-train-000023,전 동 휠체어 없이 다니다 새 빠지다,0
nikluge-au-2022-train-000024,역시 지구 제 살기 너무 크다,0
nikluge-au-2022-train-000025,마지막 열차 여의도 행,0
nikluge-au-2022-train-000026,뚫흙뚫흙뜱 뚫흙뚫흙뜱 뚫흙뚫흙뜱 따다 하다 질주 하다,0
nikluge-au-2022-train-000027,그러니까 개독교 소리 듣다,1
nikluge-au-2022-train-000028,듣다 다윗 팥죽 속 권력 따내다 것 의미 싶다,0
nikluge-au-2022-train-000029,매국노 국가 훈장 반대 하다,1
nikluge-au-2022-train-000030,악마 다른 얼굴 이다,1
nikluge-au-2022-train-000031,이 공약 가다 자신 빨갱이 경력 감추다 위해 내 걸다 구호 요,1
nikluge-au-2022-train-000032,왕권 시대 보다 없다 독재 정권 거치다 없이 자행,1
nikluge-au-2022-train-000033,비난 하다 A 4 펴다 들다 읽다,1
nikluge-au-2022-train-000034,외교 경제 국방 등 망치다 조용하다 대통령 간첩 처분 받다,1
nikluge-au-2022-train-000035,왕권 시대 보다 없다 독재 정권 거치다 없이 자행,1
nikluge-au-2022-train-000036,수첩 공주 비난 하다 A 4 펴다 들다 읽다,1
nikluge-au-2022-train-000037,외교 경제 국방 등 망치다 조용하다 대통령 간첩 처분 받다,1
nikluge-au-2022-train-000038,언론인 들 이렇다 바보 천치 들 줄 미치다 모르다,1
nikluge-au-2022-train-000039,언론인 들 이렇다 바보 천치 들 줄 미치다 모르다,1
nikluge-au-2022-train-000040,같다 치매 환자 감히 국론 말 하다,1
nikluge-au-2022-train-000041,국민 이렇다 자르다 처단 하다 살 수 있다 음,1
nikluge-au-2022-train-000042,정부 엉덩이 핥다 소리 지껄이다 한기총 조광 직도 소리 소문 없이 행방불명 되어다 같이 죽다,1
nikluge-au-2022-train-000043,어디 하다 짓 없다 빨갱이 노릇 해,1
nikluge-au-2022-train-000044,쓰레기 쓸리다 내다 가게 마련,1
nikluge-au-2022-train-000045,지지자 들 지적 수준 적나라하다 보이다 주다,1
nikluge-au-2022-train-000046,이 거 를 쪽쪽 빨다 쪽빨 들다 아니다,1
nikluge-au-2022-train-000047,자살 당 지지자 들 비판 하다 앞서 자기 들 당 탄핵 놈 들 비판 하다 않다 난 그것 알고싶다,1
nikluge-au-2022-train-000048,것 들 나가다 개죽음 당하다 이유,1
nikluge-au-2022-train-000049,그 앞 재다 부터 먼저 뒈지다,1
nikluge-au-2022-train-000050,그 앞 재다 부터 먼저 뒈지다,1
nikluge-au-2022-train-000051,넌 인간 되다 틀리다,1
nikluge-au-2022-train-000052,그 병 죽다 못 고치다,1
nikluge-au-2022-train-000053,피의자 가다 싸가지 없다 쓰래 기,1
nikluge-au-2022-train-000054,넌 인간 되다 틀리다,1
nikluge-au-2022-train-000055,기 기 출발 하다 대다 기하,1
nikluge-au-2022-train-000056,유독 대구 이렇게 한 건 대 구 사람 들 위협 겁박 하다 반발 하다 말 개 돼지 취급 다르다,1
nikluge-au-2022-train-000057,이 시체 팔이 들,1
nikluge-au-2022-train-000058,대통령 만큼 일 하다 넌 벌써 이 세상 하직 하다,1
nikluge-au-2022-train-000059,벌다 치매,1
nikluge-au-2022-train-000060,늘다 억류 되다 있다 자 국민 갖은 수단 써다 구출 하다 오다 이 놈 빨갱이 정권 탈출 하다 온 국민 되다 북 넘기다 줄다 하다,1
nikluge-au-2022-train-000061,늘다 억류 되다 있다 자 국민 갖은 수단 써다 구출 하다 오다 이 놈 빨갱이 정권 탈출 하다 온 국민 되다 북 넘기다 줄다 하다,1
nikluge-au-2022-train-000062,쌈짓 돈 모으다 공산당 간부 들 치다 바르다 생각 들다 않다,1
nikluge-au-2022-train-000063,의 서민 인권 당 간부 우선 노예 국가 무엇 바라다 수 있다,1
nikluge-au-2022-train-000064,앵벌이 모양 삥 뜯다 것 핵 강국 진 면목,1
nikluge-au-2022-train-000065,무뇌 잉여 빠갈 충 뚝 빼기 들,1
nikluge-au-2022-train-000066,대기업 몇 십년 다니다 저 짓거리 하 빠갈 통뚝 빼기 생각나다,1
nikluge-au-2022-train-000067,법정 법륜 땡중 들,1
nikluge-au-2022-train-000068,마구 니 오지 끼다 철퇴 쪼사 하다 것 들,1
nikluge-au-2022-train-000069,자유 민주주의 대한민국 함께 살다 수치 지랄,1
nikluge-au-2022-train-000070,전부 싸 그립다 요단강 래프팅 태우다 하다 것 들,1
nikluge-au-2022-train-000071,빠갈통들,1
nikluge-au-2022-train-000072,하여간 머 리가 빠 리 들,1
nikluge-au-2022-train-000073,대갈빡 들다 은 없다 것 들 그냥 처 밟다 죽이다 하다,1
nikluge-au-2022-train-000074,씨발 최선 다한 유효 슈팅 없다 무뇌 경기 거,1
nikluge-au-2022-train-000075,역대 최악 경기 보다 심장마비 오다 알다,1
nikluge-au-2022-train-000076,제발 직립보행 좀 하다,1
nikluge-au-2022-train-000077,조문 하다 오다 사람 옷 노랗다 리본 달다,1
nikluge-au-2022-train-000078,참으로 역겹다,1
nikluge-au-2022-train-000079,저 들 상상 초월 하다 인간 말종 들 이기 때문 이다,1
nikluge-au-2022-train-000080,발목 당 종자 들,1
nikluge-au-2022-train-000081,용서 하다 수 없다 인간 백정,1
nikluge-au-2022-train-000082,과 그 시 들이다 그 들 거짓 조작 그리고 허위 적 말 통계 속 아주 개돼지 보고 얼마나 통쾌하다 하다 쉬다 없이 갖다 놀다 있다,1
nikluge-au-2022-train-000083,그 들 백년 후 개돼지 살 놈 들,1
